address,description,image,location,number,seller,symbol,title,unit,url
,Am seeking a room to rent asap no specific location I can pay $475 #. 13453223012,,,475,Trav,$,Am seeking a room to rent asap,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
"6 Buttonwood Ave, Apt no. 2,Prospect,Ky1-1007","Spacious 3bed 2bath for rent
Available end of June. Serious enquiries only (available for viewing)
WhatsApp 928-4505 or email ",,Red Bay/Prospect,"1,950",DreaDrea,$,3bed 2bath for rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
"Keturah Street,George Town","One Room en-suite bath availabe to share with one male (Only Indian male).
Kyd 550 all Inclusive of light, water, Internet. Share living and kitchen.
Please share you full name and your place of work detail.
what’s app details : 1-345-927-4904.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/28/2146889.jpg,George Town,550,KumarGourob,$,One Room to share only,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
Lime Tree Bay Ave.,Unit is no longer available at this time,https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/28/2147059.jpg,West Bay,"1,400",David Hanlin,$, Long Term Studio Available Lime Tree Bay 1400/month,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
"67 Newport ave Keturah St,Moon 16,KY-1","Me and my boyfriend looking for a clean apartment where we can have our own bathroom and shared kitchen or maybe studio type apartment. No Pets, no kids preferably Georgetown area.
Whats App : (345) 917-4022",,George Town,600,Laynepot,$,Tidy Couple looking Room/apt,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
keturah Street,"1 and 2 bed apartments on Keturagh street, off walkers road
email: ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/29/2147410.jpg,George Town,,CB_9,,1 and 2 bed apartments in George Town,,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
Uncle Bob’s Rd,Room For Rent9161510,https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/29/2147731.jpg,West Bay,550,FGM,$, Room for Rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
Seaview,"Two rooms available (East End) in a shared house - 1st June.
Each room has a small kitchen and bath.  Electricity included, well water only.
Rent - CI$450 & CI$500 monthly.
Deposit - CI$250Message only 9274174",,East End/High Rock,,Mrs Anderson,,Room for Rent,,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
Palm Heights Drive,Two bedroom apartment in Snug Harbour.  Great location! Available now.,https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/29/2148052.jpg,Seven Mile Beach Corridor,"1,500",Joan Link,$, Snug Harbour- 2 bed,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
"Endurance Apts,50 Gunter Link","Apt for rent in quiet residential area in West Bay, one bedroom, bath, living room, dining room  and  kitchen. Washer and dryer.  Furnished.  No kitchen utensils. No pets, No Kids.  Wired with fiberoptic  cable but u need to apply  for your own cable. UTILITIES ARE NOT INCLUDED.For more information contact me by email at ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/01/2220099.jpeg,West Bay,"1,200",Carol Lumsden,$,FOR RENT IMMEDIATELY,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
"497 West Bay Road,KY1-1204","Cayman Reef Resort 3bed/2bath. Owners home away from home. Top of the line furniture & mattresses.  All utilities, fiber internet, TV included. Washer&Dryer in unit. Nightly security. No pets. No smoking. Professional couple with 2 kids maximum, No room shares. Available immediately. See more at www.CaymanReefResort56.com Online calendar not current, long term available until Nov 2020 and possibly longer.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/06/2101630.jpg,Seven Mile Beach,"3,800",Marc Hubert,$,Best Part of SMB on Sandy Beach 3Bed Condo with Luxury Finishes Walking Distance to CamanaBay,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
441 West Bay Road,"CI$2,900 weekly all inclusive of utilities.
Available June, July and August.
2650 SF, 3 bed/ 3 bath.
Great unit located on the second floor, with elevator access.
 Available for weekly rentals, your perfect Staycation!!!!
Full condo details can be found:
https://www.vrbo.com/1223270
Call/Email/Whats App today  1345-329-2318
",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/29/2148186.jpg,George Town,"2,500",GeidysValdes,$,"Special Staycation - Laguna Del Mar #12 - Seven Mile Beach - Available June, July and August. ",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
"Tropical Garden,71 sorel drive,11029 1007ky",For rent 1 bedroom own bathroom large living room prefer single clean lady this room located in Tropical garden please contact me at 3459161812,,George Town,900,bailey,$,Room for rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
"# 9 lindys walk,west bay islas cayman grand cayman","Excellent apartment Located in West Bay # 9 Lindys Walk
Near to mini market, Supermarket, beach, restaurants, bus stop and more.-Price
$ 1300 per month plus one month deposit. -Including CUC, Water and Internet.
-Available for professional single person or couple, children are not allowedDescription
-1 Bedroom
-1 Bedroom
 -Spacious bedroom with closet,
- Dining room
- kitchen
- Furnished
- quiet zone
- Super clean
- Parking available
- safe place
-  countertop
- hot water heater
- A / C Split unit in the  room- Washer and dryer is not included but is a few minutes walk from the apartmentContact Numbers   9243661 / 9264190 / email Animals are not allowed on site",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2142725.jpg,West Bay,"1,300",Genova Christian,$, 1 Bedroom / 1 Bathroom Apartment For Rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"Sand Castle Link,Beach Bay Heights","Utilities included, tv, central air with (separate control) and washer/dryer. All to your comfort, 3 minutes walk to the beach. Ready to move in.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2143501.jpg,Bodden Town/Breakers,"1,200",MEKIA,$, Comfortable and homely 1 bed room apartment,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Walkers Rd,"Gorgeous, spacious, fully furnished & equipped, nicely appointed, full size washer and dryer, bedrooms are masters with queen beds You will love living here: gated complex, meticulously maintained, pool, close to town, shopping, churches, sports facilities and schools.No smoking, no petsCI$2,400.00 per month - security deposit and first months' rent required at lease signing.Available ImmediatelyCall Kathy to View at 926-0918",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2143306.jpg,George Town,"2,400",hrkozaily,$,For Rent Townhouse,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"Vela south sound road,23","Stunning VELA rental Fully furnished ready to move in July 1st.  With the 2nd floor you have the sitting/dining, full kitchen, utility (Washer &Dryer) & master bedroom. Double bed and ensuite bathroom with two walk-ins for him/her.
A balcony over looking the  Olympic Swimming pool.3rd Floor - A double bed and en- suite with two more balconies, one facing on the swimming pool and the other you can see the ocean. Great location into George Town center, a couple of minutes to Hurley’s Supermarket, King’s Gym, Smith Cove, the sports clubs, and the famous Walk Board on South Sound.
- Gated community
- Three-point security system for entry
- Fully serviced gyms
- Clubhouse and function with full kitchen
- A full-time on-site property manager
- Tennis courts
- Olympic length swimming pool in each Phase
- Yoga room
-Children play area2950  with bills included for the first 6 months then a rent review for the remaining 6 months call or watts app 916 7424.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2143187.jpeg,South Sound,"2,950",Chanelle89,$, VELA Phase 1 - 2bed 2 bath unit available July 1st bills included,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Secret Garden,"This beautifully decorated and upgraded 3 bedroom/3 bathroom unit is located in the peaceful family-oriented neighbourhood of Secret Garden in the South Sound area.
The Rent has been significantly reduced for the first six-months of the one year lease and is only CI$2,500 per month (goes back to CI$3,500 in December). Perfect for small families looking to be close to schools and the amenities of central George Town. The property boasts a spacious floor plan with an abundance of storage and closet space. Secret Gardens has wonderful on-site facilities with Two pools and is only a short easy drive to Camana Bay. The master has an en-suite bathroom with luxurious rainfall shower feature and a large walk in closet. This unit also has brand new furniture, freshly updated and most importantly an amazing kitchen – Available June 1st.  RMLS 428 call Bouke 345-928-4403, 
Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2143470.jpg,South Sound,"2,500",1503 Property Group,$,3 bedroom Rental in Secret Garden- Reduced Rent! ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"431 West Bay Road,KY1-1202","5 and a half month rental available from July 1 to December 15, with possible extension based on circumstances at the time. Month to month rentals also possible. Enjoy a staycation on Seven Mile Beach.Very well located 2 bed, 2 bath modern condo on Seven Mile Beach with ocean views from the livingroom and patio. Very sought after location at Regal Beach Club. A beautifully maintained strata with 2 pools, tennis court, gym, beach loungers and umbrellas on the beautiful white sandy Seven Mile Beach. Full washer and Dryer in unit. Full size bunk beds, great for families.Fully furnished, including linens, bath towels, beach towels and all kitchenware. Will consider pets with strata approval.Includes Logic fiber internet and TV in living room and bedroom. Excludes water and CUC. Willing to discuss all inclusive option. Contact me for further details. Call or Whatsapp 525 0406.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2143815.jpg,Seven Mile Beach,"2,975",Greg_3,$,Seven Mile Beach Oceanview 2 bedroom,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Grand View,"Enjoy stunning beach views from this modern, light-filled 2-bedroom, 2-bathroom condo at The Grand View on Seven Mile Beach. Newly renovated, this spacious apartment is set within lush tropical gardens with only a few steps to the beach and luxurious pool. Wake up to views of the Caribbean Sea from the airy master bedroom featuring a King bed, spacious en-suite bathroom, and walk in closet. Double French doors lead out to a large screened in patio with lounge seating and dining area perfect for relaxing or entertaining. The second bedroom has the option of a single King bed or two twin beds, use of the second bathroom. The kitchen comes fully equipped with a bar and dining table for 6. Comfortable sofas and a new 55inch HDTV make for an elegant and relaxed lounge area with views of the beach from the sliding doors. This is Seven Mile Beach resort living at its finest with stunning 650ft of powder sand beach on your doorstep, a resort style pool and hot tub, tennis court, basketball half court, barbecue area. There is also a lovely sense of community within the spacious complex, and additional family-friendly amenities include a kid's play area and a shared greenhouse within the grounds. No pets. Lease available
now until 15th December 2020 RMLS 392, US$4,000 per month, call Isy 345-326-4002, 
Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2144200.jpg,Seven Mile Beach,"4,000",1503 Property Group,$,2 Bedroom Grandview Condo on the Beach! ,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"John Greer Boulevard,Bobby Thompson Way","Long term rental
Corner Unit
Fully Furnished Apartment available immediately
Located on John Greer Blvd, George Town.
Centrally located to schools, grocery stores, airport, cricket square & camana bay.
Includes swimming pool, screened in patio and gym
Logic cable included. Utilities separate
Flexible on deposit payment
Please call or Whatsapp 926 0478",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/06/09/2173713.jpg,George Town,"2,000",Dannel,$," Mystic Retreat 2 bedroom, 2.5 bathroom",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Villas of the Galleon,"Now may be the time to consider living on the white powdery sands of our world famous, Seven Mile Beach. This cheerful & sunny, turn-key villa is rented fully furnished; unpack your bags and enjoy the pristine beach and ocean views. Swim, snorkel and dive right outside your paradise home! Enjoy nightly, spectacular sunsets, and balmy breezes from your private balcony. RMLS 337 US$5,000 per month ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2144218.png,Seven Mile Beach,"5,000",1503 Property Group,$,Live on the Beach at Villas of the Galleon! ,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Britannia Phase 2,"A spacious fully furnished 3 bedroom, 3 bath unit with  a central kitchen, great living space and  large screened patio overlooking  the canal.  Perfectly located 3 minutes from Camana Bay , all the best restaurants, shops and the beach . The elevator doors open just steps away from your door.  This Villa is on the third floor offering gorgeous views of the Canal , opening out to the North Sound.RMLS 406 US$6,000 per month call Shawn 345-916-2838. 
Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2144208.jpg,Seven Mile Beach Corridor,"6,000",1503 Property Group,$,3 Bedroom Executive Rental at Britannia ,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Cayman Crossing,"Beautiful 2 bed 2.5 bath townhouse, fully furnished, located right across south sound beach and very closed to town. This townhouse is very spacious, the kitchen comes fully equipped with stainless steel appliances, granite counter tops and wood cabinets, there is an unscreened porch with a storage room and sitting area to enjoy the nice pool and landscaped outdoors.The master bedroom is very spacious with en-suite bathroom and spacious closets, the guest bedroom is also has spacious and bathroom. This unit is available now. Contact me for a virtual tour.Cayman Islands Sotheby's International Realty is a member of CIREBA RLS#489Contact Karina 925-3800",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2144334.jpg,South Sound,"2,300",Cayman Islands Sotheby's Int'l Realty,$,Cayman Crossing in South Sound,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"26 Windermere Street,KY1 1208","Spacious townhouse in a small quiet complex ( 12 units)on Windermere Street off Walkers Road, close to schools, town, Smith cove  and Camana Bay.
2 bedrooms with ensuite bathrooms, powder room and  large optional den/ home office. Large pool on the property.
-end unit with lots of natural light.
-screened porch and bar b que area
-lots of storage
-fully furnished
-above Ivan flood levels
-ample parking
Available for immediate occupancy. Children are welcome.
CI$2500.00 per month.
Call 9167460 or email  for viewing arrangements or further details.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2144585.jpg,George Town,"2,500",CAM_4,$,TOWNHOUSE FOR RENT,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"6 Buttonwood Ave, Prospect,prospect","Spacious and comfortable 3Bed 2Bath for short term rental
whatsapp 928 -4505  or email ",,Red Bay/Prospect,165,DreaDrea,$,3Bed 2Bath Apartment for short term rental,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"Prospect, George Town","Introducing Prospect Point Manor, Prospect; 15 unit complex- Urban living at its finest 1 and 2-bed townhomes featuring a swimming pool, cabana, balcony and more amenities with clean minimalistic finishes, appliance package, energy-efficient A/C system. Complex consists of 6- 2 bed 2.5 bath and 9 -1 bed 1.5 bath townhomes. Nearby Hurley's virtually any needed amenities are minutes away including cafés and restaurants, banks, shopping, schools. Offering low strata fees including insurance.Cost-effective priced & completion due early 2021. Urban living and Modern design, spacious open plan, energy-efficient, two-storey townhomes featuring modern finishes, appliance package and Balcony for each unit. Features landscaped gardens, swimming pool, cabana, low strata fees and more amenities for you to relax and enjoy Cayman’s tropical weather.Price list$257,000 CI 1 bed 1.5 ba Premium 837 sq ft
$325,000 CI 2 bed 2.5 ba Premium 1298 sq ftFor more information contact 345-517-1333 |  or contact Angelique Bodden directly at  or 345-324-1333 to receive an E-brochure and learn how to Reserve your Dream Property- Prospect Point Manor.Visit our website:
www.ModRealtyCayman.com",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2144784.jpg,Red Bay/Prospect,,MODRealty,,Prospect Point Manor ,,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"3 Sundial,West Bay Road","Long term lease for 1 August 2020 to 30  September 2021Very close walking distance to Seven Mile BeachSpacious and good natural light in living spaces. Access to pool, gardens, parking, close to shops and restaurants!Whatsapp me +13453295192 or email me ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/14/2117391.jpg,Seven Mile Beach,"2,900",MHJ,$,"Amazing deal! 3 bedroom, 2 bath by Seven Mile Beach!! CI$2,900",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"Silver Oaks Crews Road Grand Cayman Islands, George town,Silver Oaks Crews Road Grand Cayman Islands, George Town,Ky1-1112",Three bedrooms and two bathroom apartments for rent in Silver Oaks Crews Road for 2600 with free internet. Contact # 3291268 also on WhatsApp.,https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/28/2145520.jpg,George Town,"2,600",Peter96,$,"Three bedrooms and two bathroom apartments in Silver Oaks crews road for rent, for 2600",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Walkers road,"Looking for one roommate to share a 2 bedroom, 2 bathroom in a very quiet residential apartment on Walkers road with one professional, The apartment is a walking distance to Smith Cove and the room available is a fully furnished, a big closet, and a private bathroom and available immediately.
The rent is $900 per month + utilities and $900 security deposit required.
For more info call, text or WhatsApp to (345) 3247468",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/27/2144988.jpg,George Town,900,Agyemang,$,ONE BEDROOM WITH PRIVATE BATH AVAILABLE NOW,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"18 Neon Close,KY1-1303","1 bedroom available in a 3 bedroom house in Mount Pleasant Road, West Bay. Shared bathroom, kitchen, living and dining.  Has laundry room and big parking space. KYD 600 plus utilities and security deposit required. For more details please contact 3276489.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/28/2145510.jpeg,West Bay,600,Myles40,$, 1 Bedroom available in a 3 bedroom house ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
"George Town, Crew Road",Seeking a 1bed/1bath and the water must be included - I’m willing to pay separately for CUC.Not interested in sharing due to the current pandemic.I do have a pet so I am willing to make a pet deposit,,George Town,900,Lanie D,$,Seeking an Apartment for $900 ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
10 Abbey Way,"AVAILABLE NOW:  Spacious two bedroom & two bath
Vaulted ceilings with large closets, living, kitchen, nook & laundry
Furnished.  Granite counters and nice finishes throughout
$1500 Short term lease available",,Red Bay/Prospect,"1,500",Deborah Bolin,$, Redbay 2bd/2bth Open and large,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=46
Linford Pierson highway .,"price reduced 2 bedroom and 2 bathroom
Dinning are
Living space
Modern kitchen
Backyard
Washing machine and dryer inside the unit
Electric range and dishwasherNearly new construction everything is new.
Near to airport ,shopping and hospital.
Come and have a look at this beautiful place.. you may like it.
Available now.Contact me through 13459221817 what's up
Thank you",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/28/2145820.jpg,George Town,"2,000",karthikeyanganesan,$,2 bed 2 bath apartment for rent in George Town Near airport,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=47
Hirst Rd.,"Want to have your very own space in the popular Shopping Village at Countryside in Savannah?! Conveniently located near Foster's, CNB, Subway, AL Thompson's and more. 96 sq.ft. - includes water, electric, alarm system, clean, shared kitchen, and more!Unit G5 is the perfect office space for your needs, and at a great value. For just $525 a month all-inclusive, this space could be yours! Contact me to get all the details on 936-3343 or email ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/25/2140533.jpg,Savannah/Newlands,,HeritageHoldingsLTD.,,Countryside Office Space for Lease,,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
North Sound Rd.,"With Hurricane Season starting a week from today,  it is more important than ever to secure your moat valuables belongings. Whether business or personal, the safe and secure warehouse spaces available at Barcadere Warehouse are perfect for your every need.  BARCADERE WAREHOUSE
Offering BRAND NEW Safe, Clean, Secure and Sanitized Spaces.
Private and Secure
AC and Climate Controlled options
Great for document or home storage.
Also perfect for a gym , woodwork shop or boat storage.
Wheelchair and washroom accessible w/ elevator to Upper Level
We can provide Virtual Tours and Online application with Lease signing on Docu Sign.
Available Size Options include Upper and Lower Level options:
1250 sq ft.
625 sq ft.
312 sq ft.
FOR LEASING INQUIRIES EMAIL, CALL, OR WHAT'S APP ME!
(345) 936-3343
Email: 
www.warehousespace.ky",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/25/2140466.jpg,George Town,,HeritageHoldingsLTD.,,Be Prepared - Secure Storage Above Sea Level,,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
West Bay Rd.,"Find the perfect home for your business in Centennial Towers. Clean and spacious with great amenities for you and your team. Conveniently located off West Bay Rd. Key Features Include:
Parking/ 24 hour Security guard and built in Cameras
Key lock pin pads and gated doors throughout property
Onsite Property Manager
Water cooler always available
Shared Kitchenette to use
Shared Conference room
WI FI Included with some options
Also located in Centennial Towers: Cayman National Bank, West Bay Pharmacy, Subway and more!Centennial Towers
1. 201
792 sq ft.
$1650 per month
Bathroom/ board room use/ wheelchair accessible/ Wi Fi included
AC/ Electricity and water responsible to tenant
Elevator access2. 302
889 sq ft.
$1852 per month
Bathroom/ board room use/ wheelchair accessible/ Wi Fi included
AC/ Electricity and water responsible to tenant
Conference room
Personal Alarm system3. 305 A , 303 B Office
750 sq ft.
$3130 per month
Ocean view
Two-entrances, safe/secure, versatile, wide open space
Bathroom/ board room use/ wheelchair accessible/ Wi Fi included
AC/ Electricity and water responsible to tenant
Conference room
Personal Alarm systemHi, I'm Larissa. I would love to speak with you more about the amazing office spaces available at Centennial Towers. Email, call, or what's app me for virtual viewings and to get more details. My details are listed below...
Larissa Waters
(345)936-3343
",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/25/2140511.jpg,West Bay,,HeritageHoldingsLTD.,,Find the Perfect Home for your Business,,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
Corinne Drive,"Bright and spacious family home in the quiet Valley Gardens sub-division of Lower Valley. This two storey home comprises of 3 good sized bedrooms and 2.5 bathrooms, a breakfast nook which can also be used as a home office, open concept kitchen, dining and living room, main floor laundry and ample storage. Master bedroom opens up to a large balcony, has a walk in closet with built ins and an ensuite bathroom with a walk in shower and standalone tub.  The property has high end finished and beautifully decorated.A must see!Available August 1st.contact Aliza 925.2798 or Tegan 925.2647
",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/26/2141548.jpg,Bodden Town/Breakers,"2,700",REM SERVICES,$,"Valley Gardens Home, Corinne Drive",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
Hopefield Drive,"One bedroom, one bathroom apartment for rent. Laundry on site (shared with one other unit). Freshly painted in January. No Pets. Non-Smoking. Located in Newlands.$950/month plus utilities
($950 security deposit required)6 or 12 month lease available.Available June. 1, 2020",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/25/2140036.jpeg,Savannah/Newlands,950,CCay,$," One Bedroom, One Bath (Newlands)",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
1164 Shamrock Road,"2 bedroom/ 2 bathroom unit right on Spotts beach, available July 1st. Owner willing to sign for longer than one year term without rent escalation. Contact/Whatsapp 929 8613 for more info or to receive a video of the apartment.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/25/2140584.jpeg,Spotts,"2,350",Jeanria,$,Coral Bay Village,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
103 willie wood dr,"Bedroom for rent!!
$600 monthly include utilities
Preferably a FEMALE RENTER
Full month’s rent deposit required
6 month minimum lease
Available June 1st
Shared bathroom and kitchen area
Feel free to contact 917-8981 for further questions or viewing.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/26/2140852.jpeg,Bodden Town/Breakers,600,YolanniM,$,Bedroom for rent!!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
"MahoganyWay,260","Gorgeous huge bedroom for rent in Prospect, own fridge, king size bed. Price includes WiFi, central A/C, Fully furnished, Netflix account, laundry, water and light. Shared bathrooms, kitchen, living room and backyard. Looking to rent to a professional single lady or 2 ladies, no pets/children, no government aid. CI$900, deposit CI$900. Available immediately. For more info Call, text or WhatsApp to (345) 923-0051",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/26/2141537.jpeg,Red Bay/Prospect,900,Jose Venner,$,Room for rent ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
"Linford Pierson highway,Royal pines","price reduced 2 bedroom and 2 bathroom
Dinning are
Living space
Modern kitchen
Backyard
Washing machine and dryer inside the unit
Electric range and dishwasherNearly new construction everything is new.
Near to airport ,shopping and hospital.
Come and have a look at this beautiful place.. you may like it.
Available now.Contact me through 13459221817 what's up
Thank you",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/26/2141605.jpg,George Town,"2,000",karthikeyanganesan,$,2 bed 2 bath apartment for rent in George Town Near airport,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
"39 Lynnette Crescent,KY1-1301","2 bedroom 2 bathroom apartment located in a small and quiet complex.
Located next to the Shores, on Lynnette Crescent, it's just off the bypass in West Bay: 10 mins from Camana Bay/15 mins from George Town.Bottom floor:
- spacious living room with an open-concept kitchen & dining area;
- utility closet with washer/dryer;
- additional storage space under the stairs;
- master bathroom with bathtub;
- master bedroom and convenient backyard access.
Top floor:
- guest bedroom with private bathroom;
- spacious corner by the window;
- more storage available in the attic.Unit renovated last year and well kept.
Pets are welcomed with $500 deposit.
Utilities are not included.
Long term lease preferable.
Available starting 1-JULY-2020.
One month's rent in advance required.
Please Whatsapp at +40 721 321 695 (currently off-island, but have someone doing the viewings)",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/26/2141581.jpg,West Bay,"1,900",Vladprz,$, 2 BED 2 BATH BY THE SHORES - FAMILY & PET FRIENDLY,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
"42 leonce drive,1",I am an NAU client who is seeking a 1bedroom/1bath apartment all inclusive.,,Savannah/Newlands,950,S_McLaughlin,$,NAU Client $950 (all inclusive),KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
South Sound Rd,"Large 3 bed, 3.5 bath condo for rent from 1 June
Kitchen Aid appliances
70” TV
3 double en-suite bedrooms
Lots of storage and workspace
On water - South Sound
Dock and large cabana for entertaining
Lifestyle living - work from home and kayak in your lunch hour!
Please note - cats only
From 1 June pls call 326 4755",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/26/2142031.jpg,South Sound,"3,950",MJ000,$,"Large 3 bed, 3.5 bath ocean front condo for rent from 1 June",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
"299 West Bay Road,KY1-1207","Available June 1st!  SMB beach view condo!  This condo is normally a short term rental but now renting monthly until tourism re-opens.   The unit is being offered on a 5 month lease from June though the end of October assuming tourism can resume by then*.It's a 2 bed 2 bath renovated top floor unit with great ocean beach views overlooking the pool at Sunset Cove on SMB.Enjoy stunning views of the sun setting over the Caribbean Sea from your private balcony. Rent is $2300 + utils.This unit has been professionally finished with luxury and elegance, including therapeutic walk-in shower, high end appliances and AC with nest, home automation with Amazon echo.  The modern kitchen has stone counters, wood cabinetry, modern kitchen appliances. Includes stove, french door refrigerator with water filter, dishwasher, Keurig coffee machine, toaster, electric kettle and all the cookware necessary to make a gourmet meal.The unit has been decked out with a great entertainment system including a 65"" flat screen smart television with Cable and Netflix.  Fiber optic  internet circuit with HD and premium channels and Wi-Fi coverage. There are also smart televisions rooms with Netflix.The condo uses a key-less entry system so you don't need to worry about carrying keys around. It will be programmed with your unique code for during your stay.
There is also security guards on premises and CCTV.Please contact Bill at 917-0041 if interested.  *Note: lease can be extended or shortened depending on when tourism resume.  If the lease is shortened the landlord would pay a penalty of 400/month with a 30 day notice.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/05/26/2141792.jpg,Seven Mile Beach,"2,300",billcaymanbuysell,$, 2 bedroom beach condo!  Sunset Views!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=48
